Trip ID,Haul #,Tag #,PSID,Date,Species,Stat Area,Fishery,Length,Disp,Notes,Bag,,Year,#
R18003L,3,DOA1589,1,2/11/2019,Hg,537,100,109,,,4,,1997,2
R06025C,2,DOA1040,1,4/17/2019,Hg,537,100,145,25,,4,,2001,2
R11010L,1,DOA1235,1,3/28/2019,Hg,,100,,,,4,,2004,4
Q40011,3,DOA0458,1,4/2/2019,Hg,,100,,,,4,,2005,3
Q95009,1,DO9848,1,3/28/2019,Hg,537,100,,,,4,,2006,3
R06025C,3,DOA1041,2,4/17/2019,Hg,537,100,137,25,,4,,2007,41
Q95009,1,DO9840,4,3/28/2019,Hg,537,100,,,,4,,2008,5
Q95009,1,DO9847,3,3/28/2019,Hg,537,100,,,,4,,2009,3
R11008L,1,DOA0385,2,3/20/2019,Hg,513,100,,,,4,,2010,5
R11008L,3,DO9734,6,3/20/2019,Hg,514,100,,,,4,,2011,3
Q40011,3,DOA0457,2,4/2/2019,Hg,,100,,,,4,,2012,1
R06025C,6,DOA1046,6,4/17/2019,Hg,537,100,138,25,,4,,2013,2
R06025C,6,R06025C-5,5,4/17/2019,Hg,537,100,151,25,,4,,2014,6
R06025C,5,DOA1044,4,4/17/2019,Hg,537,100,121,25,,4,,2017,62
R06025C,4,DOA1042,3,4/17/2019,Hg,537,100,156,25,,4,,2018,51
R50015C,1,DOA0367,2,6/26/2019,Hg,521,100,,,,4,,2019,87
R50013C,4,DOA0360,2,6/19/2019,Hg,515,4,137,1,,4,,2020,3
R14008L,2,DOA1911,1,3/3/2019,Hg,526,100,,,1 of 2,4,,2022,1
R14008L,2,DOA1911,1,3/3/2019,Hg,526,100,,,2 of 2,4,,,
R05014,9,DOA1139,1,3/25/2019,Hg,521,50,207,,,4,,,
R08009C,2,DOA1753,4,3/8/2019,Hg,537,100,109,,,4,,,
R08009C,1,DOA1752,3,3/8/2019,Hg,537,100,105,,,4,,,
R08009C,1,DOA1750,1,3/8/2019,Hg,537,100,120,,,4,,,
R08009C,1,DOA1751,2,3/8/2019,Hg,537,100,115,,,4,,,
R50015C,1,DOA0365,1,6/26/2019,Hg,521,100,,,,4,,,
R18023C,5,DOA1593,2,6/22/2019,Hg,521,100,,,,4,,,
R08009C,3,DOA1756,7,3/8/2019,Hg,537,100,96,,,4,,,
R08009C,2,DOA1754,5,3/8/2019,Hg,537,100,104,,,4,,,
R08009C,1,DOA1752,3,3/8/2019,Hg,537,100,105,,,4,,,
P53023C,13,P53023C-8,8,8/9/2017,Hg,512,100,139,11,,5,,,
P53023C,11,P53023C-7,7,8/9/2017,Hg,512,100,138,11,,5,,,
P53023C,11,P53023C-6,6,8/9/2017,Hg,512,100,147,11,,5,,,
P46016L,6,P46016L-7,7,4/9/2017,Hg,537,100,116,,,5,,,
P46016L,6,DOA0405,6,4/9/2017,Hg,537,,106,,,5,,,
P46016L,6,DOA0403,3,4/9/2017,Hg,537,100,133,,,5,,,
P46016L,4,DOA0407,2,4/9/2017,Hg,537,100,123,,,5,,,
P46016L,3,DOA0408,1,4/9/2017,Hg,537,100,105,,,5,,,
P46016L,6,DOA0406,5,4/9/2017,Hg,537,100,116,,,5,,,
M12013L,2,DO5134,1,5/12/2017,Hg,537,100,115,1,,5,,,
M12013L,6,DO5133,2,5/12/2017,Hg,537,100,133,1,1 of 2,5,,,
P88017,1,P88017-1,1,10/1/2017,Hg,521,210,,,,5,,,
M12013L,6,DO5133,2,5/12/2017,Hg,537,100,133,1,2 of 2,5,,,
M12034L,3,DO7791,1,10/1/2017,Hg,521,100,123,1,1 of 2,5,,,
M12034L,3,DO7791,1,10/1/2017,Hg,521,100,123,1,2 of 2,5,,,
P43011L,1,DOA0237,1,4/2/2017,Hg,526,100,114,25,,5,,,
P41035C,1,DOA0722,1,8/3/2017,Hg,521,,136,,,5,,,
P41035C,1,DOA0723,3,8/3/2017,Hg,521,,155,,,5,,,
P43011L,3,DOA0238,4,4/3/2017,Hg,526,100,112,25,,5,,,
M12013L,2,DO5134,1,5/12/2017,Hg,537,100,115,1,,5,,,
P43011L,3,DOA0626,5,4/3/2017,Hg,526,100,112,25,,5,,,
M93012L,4,DO0574,4,4/10/2017,Hg,537,100,,1,,5,,,
P43011C,3,DOA0625,2,4/3/2017,Hg,526,100,108,25,,5,,,
P43011C,3,DOA0624,3,4/3/2017,Hg,526,100,106,25,,5,,,
D23012L,4,DO9540,2,3/31/2017,Hg,537,100,131,11,,5,,,
P40007L,1,DOA0849,1,2/28/2017,Hg,537,100,90,,,5,,,
P49012L,1,DOA0207,1,5/12/2017,Hg,539,100,116,1,,5,,,
N98014L,4,DOA0804,2,4/19/2017,Hg,537,gillnet,,25,,5,,,
H45049L,3,DOA0282,4,10/6/2017,Hg,521,100,,25,,5,,,
E35003C,1,DO0554,1,10/17/2017,Hg,514,100,135,1,,5,,,
Q04012C,2,DOA1720,1,10/6/2017,Hg,521,,135cm,,,5,,,
H45049L,3,DOA0284,3,10/6/2017,Hg,521,100,,25,,5,,,
E42019,4,DO5484,1,7/4/2017,Hg,537,,130,,,5,,,
P46012L,1,DOA0409,1,3/21/2017,Hg,537,,104,1,,5,,,
P50018L,1,DO9858 (A?),1,5/9/2017,Hg,537,100,124,25,,5,,,
P41013C,3,DOA0721,1,4/9/2017,Hg,537,,108,,,5,,,
P46012L,4,DOA0400,2,3/21/2017,Hg,537,,117,1,,5,,,
P46012L,6,DOA0401,3,3/21/2017,Hg,537,,120,1,,5,,,
P90023C,1,DOA1610,1,10/15/2017,Hg,521,100,,,,5,,,
P41032,15,DOA0716,1,7/1/2017,Hg,537,squid,120,,,5,,,
P53004L,1,DOA0067,1,2/10/2018,Hg,514,100,110,11,,5,,,
D23012L,3,DO9541,1,3/31/2017,Hg,,100,117,11,,5,,,
,,D07297,,9/14/2018,Hg,,,,,,6,,,
R47003L,3,DOA1483,3,4/12/2019,Hg,,100,104,,,6,,,
Q90010L,4,DO8841,2,5/9/2019,Hg,,100,108,dead fresh,,6,,,
R47008C,1,DOA1482,1,5/7/2019,Hg,613,100,130,,,6,,,
Q90010L,6,DOA0803,6,5/9/2019,Hg,575,100,114,fresh dead,,6,,,
R16011L,3,DO7994,1,4/2/2019,Hg,539,100,114,,,6,,,
R82028C,1,DOA1283,1,12/13/2019,Hg,513,1,147,,,6,,,
P72001L,1,DOA1701,1,1/13/2020,Hg,537,100,,,,6,,,
Q44002L,2,DOA1268,1,1/7/2020,Hg,537,100,137,,,6,,,
R38011L,1,DOA1027,1,5/25/2019,Hg,515,100,,,,6,,,
R54002C,6,DOA1211,12,4/14/2019,Hg,613,100,116,,,6,,,
Q90010L,5,DOA0801,4,5/9/2019,Hg,515,100,116,fresh dead,,6,,,
Q4402L,3,DOA1265,2,1/7/2020,Hg,537,100,142,,,6,,,
F67035C,7,DO8317,5,6/17/2006,Hg,513,100,122cm,,,7,,,
M52034,2,DO9399,1,12/14/2014,Hg,537,gillnet,150,1,,7,,,
F94003L,5,DO6145,2,2/11/2007,Hg,537,100,,,,7,,,
F97013L,6,DO8645,1,2/21/2008,Hg,514,100,124,,,7,,,
,,DO0700,,8/22/2013,,,,,,,7,,,
,,DO7008,,7/13/2014,Hg,,,,,,7,,,
,,DO8131,,7/31/2013,Hg,,,,,,7,,,
,,DO4119,,,Hg,,,,,,7,,,
F67035C,6,DO6732,3,6/17/2006,Hg,513,100,125cm,,,7,,,
D86015,17,DO8581,1,3/21/2005,Hg,525,50,99cm,,,7,,,
C93004L,3,DO4119,3,4/25/2004,Hg,537,100,127,,,7,,,
G13025C,2,DO5973,2,6/1/2007,Hg,537,100,,,,7,,,
,,DO6322,,3/9/2010,Hg,,,,,,7,,,
G26002C,5,Do6490,1,4/9/2007,Hg,521,118,,,,7,,,
,,DO0178,,,Hg,,,,,,7,,,
,2,DO8668,,,Hg,,,,,,7,,,
H03012C,,H03012C-?,,3/14/2012,Hg,,,,,,7,,,
,,DO6209,,1/19/2007,Hg,537,,,,,7,,,
A94007P,6,DO4728,,4/7/1997,Hg,,SGN,,,,7,,,
F94003L,2,DO6147,1,2/11/2007,Hg,537,100,,,,7,,,
,,DO0167,,7/20/2011,Hg,537,,,,,7,,,
F67035C,7,DO8317,5,6/17/2006,Hg,513,100,122,,,7,,,
E23007L,5,DO5963,1,4/9/2008,Hg,537,Gillnet,,,,7,,,
,,DO8976,,,Hg,,,,,,7,,,
G26014C,1,DO5850,1,7/13/2007,Hg,521,139,,,,7,,,
M54002C,,DO9580,,4/25/2014,Hg,,,,,,7,,,
P45034L,6,DO0721,,11/12/2018,Hg,537,100,156.5,,duplicate 1/2,8,,,
P90033C,1,P90033C-1,1,12/18/2017,Hg,,100,,,,8,,,
Q41004C,2,Q41004C-14,14,4/21/2018,Hg,537,100,,,,8,,,
Q44009,19,DOA1260,4,5/23/2018,Hg,538,50,145,,,8,,,
Q44009,17,DOA9404,3,5/23/2018,Hg,537,50,212,,,8,,,
Q41004C,1,Q41004C-4,4,4/21/2018,Hg,537,100,,,,8,,,
Q41004C,4,Q41004C-28,28,4/21/2018,Hg,537,100,,,,8,,,
D23044L,5,DOA0650,1,12/4/2017,Hg,,100,123,,,8,,,
P27004L,2,DO7297,1,9/5/2018,Hg,513,,,,,8,,,
P94003C,1,DO1545,1,1/16/2018,Hg,537,100,130.8,1,,8,,,
