Subsampled? ,Tag#,TripID,Year,Month,Day,Sp,Gear type,Lat.,Long., Condition code,Sex,Total Lt. (cm),Est Lt. (cm),Weight (kg),Tissue sample,remaining tissue,Comments,Year,No.#
£,D00026,K40028,2011,3,17,Hg,100,,,,,,,,,,,,
£,D00067,J88012,2011,3,30,Hg,100,,,,F,101,,,,,,,
£,D00068,J88012,2011,3,30,Hg,100,,,,M,112,,,,,,,
£,D00153,R13074,2019,10,26,Hg,100,,,,,123,,,,,,,
£,D00157,R13008,2020,2,12,Hg,50,,,,,191,,,,,,,
£,D00178,K34021,2011,6,19,Hg,100,,,,,,,,,,,,
£,D00426,K44049,2011,11,22,Hg,100,,,,,137,,,,,,,
£,D00434,K44015,2011,4,7,Hg,100,,,,,119,,,,,,,
£,D00676,U33001,2022,2,24,Hg,100,,,,,,,,,,537,,
£,D00684,M38046,2010,11,x,Hg,100,,,,,118,,,,,521,,
£,D00686,,,,,Hg,100,,,,,,,,,,,,
£,D00722,T41025,2022,6,9,Hg,100,,,,,,,,,,514,,
£,D00805,T34009,2021,4,5,Hg,100,,,,,M,112,,,,,,
£,D00826 (green 402),,2015,2,27,Hg,100,,,,,,,,,,stranding Nantucket,,
£,D00828,M66006,2015,2,27,Hg,100,,,,M,104,,,,,537,,
£,D00879,M93001,2017,1,2,Hg,100,,,,,,143,,,,,,
£,D00880,M93001,2017,1,2,Hg,100,,,,,,121,,,,,,
£,D00883,M93001,2017,1,2,Hg,100,,,,,,,,,,,,
£,D00888,R35046,2019,10,29,Hg,100,,,,,,,,,,,,
£,D00896,N06018,2015,4,14,Hg,100,,,,,,105,,,,,,
£,D00899,N06018,2015,4,14,Hg,100,,,,,,104,,,,,,
£,D01804,A53022,1997,4,6,Hg,100,,,,U,,128,,,,,1997,9
£,D01808,A53008,1997,4,x,Hg,100,,,,,,,,,,,2005,9
£,D02061,A31031,1997,4,4,Hg,100,,,,U,,122,,,,,1998,1
£,D03130,B13017,1997,8,,Hg,100,,,,M,92,,,,,,1999,2
£,D03253,C85003,2004,4,5,Hg,100,,,,,,109,,,,,2021,16
£,D03271,C94001,2004,4,7,Hg,100,,,,U,110,,,,,537,2022,17
£,D03300,C99011,2005,5,6,Hg,100,,,,,,,,,,515,,
£,D03429,B13017,1997,3,19,Hg,100,,,,,,,,,,,2002,
£,D03447,A64024,1994,11,14,Hg,100,,,,M,117,,,,,514,1994,1
£,D03661,A44001,1996,1,14,Hg,100,,,,U,,126,,,,,1996,1
£,D03932,C90001,2004,4,7,Hg,100,,,,,,,,,,521,,56
£,D03941,C90003,2004,4,7,Hg,100,,,,,,,,,,521,,
£,D04120,C93004,2004,4,25,Hg,100,,,,F,115,,,,,,,
£,D04121,C93005,2004,4,28,Hg,100,,,,M,106,,,,,,,
