Subsampled?,Tag#,TripID,Year,Month,Day,Sp,Gear type,Lat.,Long., Condition code,Sex,Total Lt. (cm),Est Lt. (cm),Weight (kg),Tissue sample,remaining tissue,Comments,,,Years,N0#
£,Blue 41,,1995,,,Pv,100,Massachusetts,,,,,,,,Ma. Stranding,,,,1997,4
£,D00107/106,M53007,2016,7,20,Pv,100,4224.3,7020,,F,,,,,,,,,,
£,D00150,J87023,2010,12,,Pv,100,,,,M,95.5,,,,,,,,,
£,D00151,J87023,2010,12,,Pv,100,,,,M,114,,,,,,,,,
£,D00154,R13081,2019,11,26,Pv,100,,,,M,96,,,,,,,,,
£,D00192,N40018,2010,12,11,Pv,50,41.235,-71.254,,M,151,,,,,,,,,
£,D00220,K95034,2012,9,8,Pv,100,,,,F,90,,,,,514,,,,
£,D00229,A03010,1996,4,19,Pv,100,,,,U,,,,,,,,,2000,11
£,D00550,E35043,2014,11,22,Pv,100,42.267,-70.202,,M,85,,,,,,,,,
£,D00601,M22061,2014,3,17,Pv,100,,,,F,85,,,,,Dupe,,,,
£,D00697,R81014,2019,10,21,Pv,100,,,,,,,,,,,,,,
£,D00699,P76030,2017,8,29,Pv,,,,,,106,,,,,,,,,
£,D00703,P38001,2017,1,6,Pv,100,,,,M,91,,,,,,,,,
£,D00706,P38003,2017,1,21,Pv,,,,,,102,,,,,,,,,
£,D00708,P72018,2017,9,27,Pv,100,,,,M,94,,,,,,,,,
£,D00758,N02023,2015,7,31,Pv,100,,,,,,,,,,,,,,
£,D00820,N38010,2015,10,21,Pv,100,,,,M,93,,,,,Dupe,,,,
£,D00980,K60035,2012,7,x,Pv,100,,,,M,91,,,,,,,,,
£,D01100,A52038,1998,8,4,Pv,100,42.3200,-70.6755,,F,82.5,,,,,,,,2006,2
£,D01241,A13064,1997,7,30,Pv,100,,,,M,85,,,,,,,,2002,10
£,D01255,A60004,1996,9,,Pv,100,430101,700240,,F,98.3,,,,,,,,,
£,D01464,A67090,1995,10,17,Pv,100,,,,M,95,,,,,,,,1998,13
£,D01633,A69,1993,11,12,Pv,100,,,,,,,,,,,,,1993,2
£,D01847,H03002,2009,1,10,Pv,100,,,,M,95,,,,,613,,,,
£,D02089,A28024,1997,4,,Pv,100,424908,702017,,F,104,,,,,,,,,
£,D02839,A45052,1996,3,6,Pv,100,42.846667,-70.11,,F,107,,,,,,,,2001,11
£,D03008,A60030,1994,12,5,Pv,100,,,,M,117,,,,,,,,1995,2
£,D03259,C85003,2004,4,,Pv,100,,,,M,101,,,,,613,,,,
£,D03348,A72021,1994,11,x,Pv,100,,,,M,90,,,,,,,,1999,13
£,D03367,B13035,1997,4,22,Pv,100,,,,M,95,,,,,,,,2003,8
£,D03474,A72041,1995,7,,Pv,100,425806,703238,,F,82,,,,,,,,,
£,D03515,A65018,1994,11,9,Pv,100,,,,M,,,,,,,,,1996,2
£,D03940,C90016,2009,7,6,Pv,100,,,,F,90,,,,,,,,,
£,D03943,C70021,2004,7,21,Pv,100,,,,F,94,,,,,,,,,
£,D04824,A72026,1996,4,,Pv,100,430121,700200,,M,117,,,,,,,,,
£,D05006,E11003,2008,4,10,Pv,100,,,,,,,,,,,,,,
£,D05008,F98003,2006,8,9,Pv,100,,,,M,98,,,,,,,,,
£,D05015,C61012,2003,9,24,Pv,100,,,,M,110,,,,,,,,,
£,D05016,C61012,2003,9,24,Pv,100,,,,M,101,,,,,,,,,
£,D05017,C61012,2003,9,24,Pv,100,,,,F,94,,,,,,,,,
£,D05131/21,C34067,2014,7,,Pv,100,,,,M,88,,,,,Must be 5121,,,,
£,D05180,D31006,2004,7,,Pv,100,,,,M,90,,,,,,,,,
£,D05185,D31009,2004,8,4,Pv,100,,,,F,89,,,,,,,,,
£,D05226,B62017,2000,6,9,Pv,100,42.891333,-70.568,,M,105,,,,,,,,,
£,D05228,D62036,2000,7,14,Pv,100,,,,M,85,,,,,,,,,
£,D05229,B62036,2000,7,14,Pv,100,,,,M,91,,,,,,,,,
£,D05230,B62063,2000,9,25,Pv,100,,,,M,87,,,,,,,,,
£,D05254,B63092,2002,7,27,Pv,100,,,,U,86,,,,,,,,,
£,D05255,B63091,2002,7,26,Pv,117,,,,M,100,,,,,,,,,
£,D05258,H61005,2010,3,2,Pv,100,40.003,-73.227,,M,104,,,,,,,,,
£,D05311,G08007,2009,2,10,Pv,100,,,,M,109,,,,,,,,,
£,D05319,D28017,2004,8,,Pv,100,,,,M,105,,,,,,,,,
£,D05404,C59016,2003,11,18,Pv,100,,,,U,108,,,,,,,,,
£,D05479,B99004,2002,6,26,Pv,100,,,,U,101,,,,,,,,,
£,D05480,B99007,2002,7,15,Pv,100,,,,M,102,,,,,,,,,
£,D05542,C05008,2002,8,5,Pv,50,43.4116,-70.0933,,M,94,,,,,,,,,
£,D05543,C05008,2002,8,5,Pv,50,43.4116,-70.0933,,M,105,,,,,,,,,
£,D05563,D45002,2004,8,23,Pv,100,43.3417,-70.2197,,M,105,,,,,,,,,
£,D05564,D45002,2004,8,23,Pv,100,,,,M,100,,,,,,,,,
£,D05632,D46006,2004,8,,Pv,100,,,,M,94,,,,,,,,,
£,D05633,D46006,2004,8,,Pv,100,,,,M,100,,,,,,,,,
£,D05710,D13004,2002,7,16,Pv,100,,,,U,85,,,,,,,,,
£,D05751,B69048,2001,7,25,Pv,100,,,,F,89,,,,,,,,,
£,D05765,B69048,2001,7,29,Pv,100,,,,F,89,,,,,,,,,
£,D05766,B69036,2001,7,5,Pv,,42.8950,-70.7011,,M,94,,,,,,,,,
£,D05767,B69038,2001,7,,Pv,100,,,,M,90,,,,,,,,,
£,D05772,B69010,2000,11,14,Pv,100,,,,M,109,,,,,,,,,
£,D05774,B69010,2000,11,14,Pv,100,,,,M,,,,,,,,,,
£,D05826,,2011,12,14,Pv,100,,,,M,98,,,,,514,,,,
£,D05834,C34121,2003,12,17,Pv,100,,,,M,75,,,,,514,,,,
£,D05835,C34121,2003,12,17,Pv,100,,,,F,87,,,,,514,,,,
£,D05849,,2009,12,17,Pv,100,,,,,,,,,,,,,,
£,D05853,B68001,2000,10,20,Pv,100,,,,,,,,,,,,,,
£,D05876,B68050,2001,7,,Pv,100,,,,M,91,,,,,,,,,
£,D05880,B68003,2001,1,7,Pv,100,,,,M,106,,,,,,,,,
£,D05888,B66016,2001,7,9,Pv,100,,,,F,113,,,,,,,,,
£,D05892,B68008,2001,1,18,Pv,100,,,,M,105,,,,,,,,,
£,D05893,B68001,2000,10,20,Pv,100,,,,M,94,,,,,,,,,
£,D05897,B68019,2000,12,13,Pv,100,,,,M,115,,,,,,,,,
£,D06021,G66004,2008,3,3,Pv,100,,,,F,99,,,,,514,,,,
£,D06041,H10003,2009,2,8,Pv,100,,,,F,111,,,,,,,,,
£,D06051,B13088,1997,11,18,Pv,100,42.5469,-70.2050,,M,104,,,,,,,,2004,10
£,D06052,B13090,1997,11,25,Pv,100,,,,M,89,,,,,,,,2005,11
£,D06073,B13061,1998,8,28,Pv,100,,,,M,104,,,,,,,,2007,4
£,D06136,D52021,2005,7,,Pv,100,,,,M,86,,,,,,,,,
£,D06146,H38001,2009,5,,Pv,100,,,,M,104,,,,,,,,,
£,D06148,K36029,2011,12,14,Pv,100,42.655,-70.49,,F,93,,f,,,,,,,
£,D06149,E35059,2009,7,1,Pv,100,,,,M,83,,,,,,,,,
£,D06222,A03010,1998,12,2,Pv,100,,,,U,116,,,,,,,,2008,9
£,D06245,B14031,1999,7,19,Pv,,,,,,,,,,,,,,,
£,D06253,B14067,1998,7,7,Pv,100,,,,F,74,,,,,,,,2009,14
£,D06254,B14068,1998,7,8,Pv,100,4251,7033,,F,73,,,,,,,,2010,8
£,D06255,B14072,1998,7,12,Pv,100,,,,F,76,,,,,,,,2011,11
£,D06262,B14040,1998,5,21,Pv,100,,,,,,,,,,,,,2012,7
£,D06263,B14062,1998,6,25,Pv,100,4254,7021,,F,77,,,,,,,,2013,1
£,D06264,B14064,1998,7,1,Pv,100,,,,F,79,,,,,,,,2014,7
£,D06268,B14082,1998,8,21,Pv,100,42.955278,-70.501389,,M,85,,,,,,,,2015,6
£,D06271,B36002,1998,10,8,Pv,100,,,,F,89,,,,,,,,2016,9
£,D06275,B14009,1999,2,1,Pv,100,,,,F,88,,,,,,,,2019,27
£,D06304,A28046,2008,9,3,Pv,100,,,,M,96,,,,,514,,,,
£,D06357,B23009,1998,2,16,Pv,100,39.982,-73.351,,U,97,,,,,,,,2017,28
£,D06359,B23009,1998,2,22,Pv,100,,,,,,,,,,,,,2018,11
£,D06401,B14043,1999,8,6,Pv,100,,,,,,,,,,,,,,
£,D06402,B14044,1999,8,7,Pv,100,42.9320,-70.6183,,F,78,,,,,,,,2020,12
£,D06403,B14044,1999,8,7,Pv,100,,,,,,,,,,,,,,
£,D06405,B14032,1999,7,20,Pv,100,42.9815,-70.5320,,M,80,,,,,,,,2021,12
£,D06406,B14032,1999,7,20,Pv,100,4259,7033,,M,81,,,,,,,,2022,4
£,D06408,B14033,1999,7,21,Pv,100,,,,,,,,,,,,,,
£,D06410,B14033,1999,7,24,Pv,100,43.0113,-70.5408,,F,85,,,,,,,,,
£,D06411,B14044,1999,8,7,Pv,100,,,,,,,,,,,,,,
£,D06413,B14040,1999,7,31,Pv,100,,,,,,,,,,,,,,
£,D06414,B14037,1999,7,24,Pv,100,42.9891,-70.5161,,F,81,,,,,,,,,
£,D06416,B14031,1999,7,19,Pv,100,4300,7030,,M,90,,,,,,,,,
£,D06417,B14030,1999,7,18,Pv,100,42.8960,-70.5480,,M,83,,,,,,,,,
£,D06419,B14031,1999,7,19,Pv,100,,,,,,,,,,,,,,
£,D06421,B14031,1999,7,19,Pv,100,,,,,,,,,,,,,,
£,D06423,B14031,1999,7,19,Pv,100,4300,7030,,M,79,,,,,,,,,
£,D06424,B14031,1999,7,19,Pv,100,,,,,,,,,,,,,,
£,D06434,B14031,1999,7,19,Pv,100,,,,,,,,,,,,,,
£,D06461,D35002,2004,7,8,Pv,100,,,,M,94,,,,,,,,,
£,D06462,D35007,2004,8,,Pv,100,425338,703130,,M,93,,,,,,,,,
£,D06475,B14009,1999,2,1,Pv,100,,,,,,,,,,,,,,
£,D06501,B14033,1999,7,24,Pv,100,4256,7030,,F,72,,,,,,,,,
£,D06504,B14044,1999,8,7,Pv,100,,,,,,,,,,,,,,
£,D06506,B14044,1999,8,7,Pv,100,,,,,,,,,,,,,,
£,D06507,B14044,1999,8,7,Pv,100,4256,7036,,M,90,,,,,,,,,
