Tag#,TripID,Year,Month,Day,Sp,Gear type,Lat.,Long., Condition code,Sex,Total Lt. (cm),Est Lt. (cm),Weight (kg),Tissue sample,remaining tissue,Comments,,,,
D03367,B13035,1997,4,22,Pv,100,,,,M,95,,,,,,,,1996,2
D01100,A52038,1998,8,4,Pv,100,42.3200,-70.6755,,F,82.5,,,,,,,,1997,2
D06268,B14082,1998,8,21,Pv,100,42.955278,-70.501389,,M,85,,,,,,,,1998,7
D06357,B23009,1998,2,16,Pv,100,39.982,-73.351,,U,97,,,,,,,,1999,13
D06405,B14032,1999,7,20,Pv,100,42.9815,-70.5320,,M,80,,,,,,,,2000,3
D06501,B14033,1999,7,24,Pv,100,,,,,,,,,,,,,2001,2
D06410,B14033,1999,7,21,Pv,100,43.0113,-70.5408,,F,85,,,,,,,,2002,2
D06417,B14030,1999,7,18,Pv,100,42.8960,-70.5480,,M,83,,,,,,,,2003,4
D06414,B14037,1999,7,24,Pv,100,42.9891,-70.5161,,F,81,,,,,,,,2004,1
D06475,B14009,1999,2,1,Pv,100,,,,,,,,,,,,,2005,7
D06402,B14044,1999,8,7,Pv,100,42.9320,-70.6183,,F,78,,,,,,,,2006,
D05226,B62017,2000,6,9,Pv,100,42.891333,-70.568,,M,105,,,,,,,,2007,1
D05853,B68001,2000,10,20,Pv,,,,,,,,,,,,,,2008,5
D05766,B69036,2001,7,5,Pv,,42.8950,-70.7011,,M,94,,,,,,,,2009,4
D05542,C05008,2002,8,5,Pv,50,43.4116,-70.0933,,M,94,,,,,,,,2010,3
D05543,C05008,2002,8,5,Pv,50,43.4116,-70.0933,,M,105,,,,,,,,2011,3
D06984,,2003,1,20,Pv,,41.4925,-71.3452,,F,119,,,,,,,,2012,1
D06723,D32006,2005,9,13,Pv,100,41.873056,-69.854167,,F,94,,,,,DUPE,,,2014,7
D07167,F52019,2005,8,22,Pv,100,42.41,-70.25,,F,87,,,,,,,,2015,3
D08059,F65005,2005,7,12,Pv,100,42.890278,-70.635556,,M,87,,,,,,,,2016,7
D08070,F66017,2005,8,23,Pv,100,43.081667,-70.501667,,M,98,,,,,,,,2017,28
D08011,G56004,2007,11,X,Pv,,423446,702643,,U,99,,,,,,,,2018,9
D08517,H00005,2008,8,15,Pv,100,42.918333,-70.571667,,M,81,,,,,,,,2019,25
