Trip ID,Haul #,Tag #,PSID,Bycaught Date,Necropsy Date,Species,Stat Area,Fishery,Length,Disp,Notes,
D65011C,3,6115,,2/27/2011,,PV,537,100,,7,,
L28040,3,DO0295,1,7/27/2013,,PV,514,100,83,,,
C99017C,1,DO3292,2,7/5/2004,,PV,513,100,96,,,
,,DO5544,,,,PV,,,,,,
C84003C,4,DO4482,2,5/6/2004,,PV,521,100,,52,,
C85003,7,3257,9,4/27/2004,,PV,,100,87,,,
C99019C,1,3291,1,7/5/2004,,PV,513,100,107,,,
C34058,2,DO5895,1,7/11/2004,,PV,514,50,149,52,,
C84003C,4,DO4481,1,5/6/2004,,PV,521,100,,52,,
,,DO8057,,,,PV,,,,,,
F65006C,1,DO8950,1,7/16/2005,,PV,513,,96,,Fishery: anchored sink gillnet,
D28021C,2,5320,1,9/13/2004,,PV,513,gillnet,94,dead,,
,,DO0028,,3/24/1992,,PV,,,,,cat #: H10-Tow2,
C34076C,2,DO5894,1,8/17/2004,,PV,514,100,92,52,,
,,DO5634,,,,PV,,,,,,
,,DO0067,,12/23/1993,,PV,,gillnet,,,cat#: I87-T001 or I87-Tool,
,,DO1683,,Nov-93,,PV,,,,,cat#: H77 Tow4, 
,,DO9837,,11/2/2015,11/5/2015,PV,513,,,,,
,,DO0069,,8/7/1992,,PV,,,,,cat#:J70 Tao2,
,,DO9894,,2/24/2015,2/26/2015,PV,,,,,,
L96016,,DOA0198,,8/15/2014,11/6/2014,PV,,,,,date may be 8/13/14,
,,DO8158,,11/4/2011,12/13/2013,PV,,,,,,
J8204RC,1,DO9375,1,11/16/2012,,PV,514,gillnet/anchor sink,113,,,
HO5004L,6,DO8985,5,3/7/2010,,PV,537,100,100,25,,
,,DO0279,,1/23/2014,1/25/2014,PV,537,,,,skin,
H62002C,4,8583,5,11/2/2010,,PV,521,108,122,,,
M95001C,2,DOA0260,1,08/23/14,11/19/14,PV,513,100,,7,,
HO0021C,3,DO8521,1,7/13/09,,PV,513,117,86 cm,7,,
HO10015L,4,DO8193,2,12/06/08,,PV,521,100,104,,Disp: 12?,
,,DO0671,,9/1/14,9/4/14,PV,,,,,,
,,DO5711,,5/24/15,,PV,513,,,,,
,,DO6688,,,,PV,,,,,May want to double check tag #,
L810156,3,7901,2,7/2/13,7/9/13,PV,514,,,,,
645001C,3,DO7826,1,08/23/09,,PV,537,100,120,25,,
E33001C,5,DO6564,2,08/29/05,,PV,513,117,89,,drift sink ,
E00008C,1,DO7965,1,12/15/05,,PV,537,gillnet ,118,12,,
,,DO0827,,2/27/15,3/1/15,PV,,,,,,
C34061C,3,DO5900,1,7/15/04,,Pv,514,100,90,52,,
C34067C,2,DO5021,1,07/24/04,,PV,514,100,88,52,,
C34095C,1,DO5898,1,10/26/04,,PV,514,100,89,52,,
,,DO5177,,,10/28/04,PV,,,,,,
F81001C,1,6471,,12/19/05,,PV,538,,,,date may be 12/11/15,
,,DO0673,,10/03/14,01/30/15,PV,,,,,,
H16009 ,14,DO7450,,03/08/09,,PV,622,trow 1 ,,,,
H61002L,3,5259,1,1/19/10,,PV,616,gillnet,127,,,
676001L,1,DO5256,1,01/04/09,,PV,612,100,104,28,,
C81005L,2,DO5841,1,02/20/05,,PV,515,gillnet,97,,,
L81015L,2,DO0513,1,07/04/13,,PV,514,,,,,
,,DO5176,,,10/28/04,PV,,,,,,
D28003C,3,5318,2,7/15/04,,PV,514,gillnet/anchor sink,78,dead,,
,,DO5317,,10/28/04,,PV,,,,,,
,,DO5711,,10/24/15,,PV,513,,,,,
,,DO0671,,09/01/14,09/04/14,PV,,,,,skin,
E26001C,4,DO6773,3,08/30/05,,PV,514,100,104,,,
C43014C,2,DO5791,1,05/11/04,,PV,539,100,115,52,,
,,DO8511,,,,PV,,,,,,
,,DO8534,,05/05/05,,PV,,,,,,
P84009L,3,DOA1626,2,09/05/17,,PV,514,,100,,gear code: 100,
F67005C,2,DO8313,3,07/13/05,,PV,513,117,110,,,
G40011,4,8303,8303,06/12/15,,PV,521,100,108,11,gillnet,
E00001C,2,7961,1,11/11/05,,PV,521,GIV,104 cm,12,,
F650051,2,DO8058,2,07/12/05,,PV,513,Anchor Sink,91 cm ,,gillnet,
F67005C,4,DO8320,4,7/13/05,,PV,513,117,90 cm,,,
,2,8534,,12/11/04,,PV,514,,,,,
B6307,2,5260,,07/13/03,,PV,,,,,gillnet,
F67001C,4,DO8312,1,06/28/05,,PV,514,100,85,,,
A19003C,5,8166,1,11/20/05,,PV,514,Gillnet,107,12,,
,,DO5137,,,03/31/05,PV,,,,,,
E16013C,3,DO8950,1,08/16/05,,PV,514,100,89cm,,,
D00003C,2,7954,1,11/19/05,,PV,521,100,,11,,
,,5814,,,,PV,,,,,no date,
,,DO1759,,03/06/96,,PV,,,,,skin,
E26006C,2,DO6032,1,09/25/05,,PV,514,100,87,,,
C85003L,2,3260,3,04/17/04,,PV,,gillnet,97,,,
,,DO1759,,,,PV,,,,,"skin, no date",
,,DO1860,,03/06/96,,PV,,,,,,
M43006L,1,DO9662,1,03/18/14,,PV,,100,126,dead,,
M77036L,1,DOA0029,1,12/01/15,,PV,514,gillnet,,1,,
M7703 ,3,DOA0031,4,12/01/15,,PV,514,gillnet,,1,,
M64021C,1,DO9887,1,10/05/15,,PV,514,100,101,5,maybe M64031L for trip ID,
M47039-,3,DO9320,2,10/28/15,,PV,512,370,146,25,,
M47039,3,DO9319,1,10/28/15,,PV,512,370,151,25,,
F66017C,1,DO8065,1,08/23/05,,PV,513,100,135,,,
D78013C,,8535,2,12/11/04,,PV,514,,,,,
D73003C,1,DO8748,4,03/06/10,,PV,5,100,,7,tag may be DO8948,
,,DO8883,,,,,,,,,,
E08010C,1,DO8983,1,02/29/12,,PV,,100,109,,,
H00039C,1,8523,,09/10/09,,PV,513,100,85 cm,7,,
G99003C,2,8511,1,01/19/14,,PV,,,105,,2014?,
C85003L ,1,3252,2,04/27/04,,PV,,gillnet,105 cm,,2004? Trip ID may start with L instead of C,
H0195L,4,DO8193,2,12/06/08,,PV,521,100,104,12,,
N23012,8,DO7866,3,10/22/15,,PV,513,gillnet/sink fixed,92,25,,
F66017C,1,DO8068,3,08/23/05,,PV,513,100,116,,gillnet,
E35110L,4,DO7237,1,12/30/11,,PV,514,100,133,1,,
K32007,35,7405,3,03/29/11,,PV,514,trawl,142,11,,
H05005L,3,DO7427,2,01/17/09,,PV,537,100,118,25,,
K38003-,5,DO7311,1,01/14/12,,PV,539,41,,25,,
K38003,6,DO7312,2,01/15/12,,PV,539,41,,25,,
M41004L,,DO7465,,02/03/14,,PV,,,,,,
,,DO7962,,12/15/05,,PV,,,,,,
N23012,6,DO5712,2,10/22/15,,PV,513,gillnet,95,25,,
C34020C,1,DO5833,1,02/19/04,,PV,514,100,109,52,,
M47049C,5,DO5299,2,12/22,,PV,514,100,103,25,date is 12/22/15,
NO6046L,4,DO-0579,1,12/13/15,,PV,537,100,92,1,,
C99011C,1,DO3297,1,05/06/05,,PV,515,100,,,,
C85003L,1,DO3251,1,04/27/04,,PV,,gillnet,,52,,
,,DO6318,,,,PV,,,,,,
K60035C,2,DO0978,1,07/22/12,,PV,514,100,119cm,,,
G83002L,2,DO6317,2,01/10/10,,PV,537,100,112,1,,
H05005L,6,DO7429,5,01/17/09,,PV,537,100,114,25,,
M21037C,4,DO-0429,1,09/11/14,,PV,514,,103cm,25,,
M64005C,5,DO8983,1,02/12/15,,PV,,,,,,
,,DO9550,,01/18/14,01/20/14,PV,,,,,,
,,DOA-0135,,11/15/15,11/17/15,PV,514,,,,,
,,DOA0001,,07/18/14,11/19/14,PV,,,,,,
L31034C,3,DO9083,1,07/19/12,,PV,,100,98,,,
H62002C,5,8582,7,11/12/10,,PV,521,100,126 cm ,,,
,,DO-8509,,,,PV,,,,,,
K33005L,1,DO6935,1,12/10/10,,PV,537,2,105cm,,,
D23025-,3,8483,1,10/11/10,,PV,573,370,,,,
,,DO8126,,11/03/10,11/06/10,PV,,,,,,
G81067C,3,DO8758,2,11/04/11,,PV,514,100,101cm,fresh dead,,
J91024,1,19,1,12/11/10,,PV,539,50,145,,,
D73003C,2,DO7853,7,03/06/10,,PV,537,100,,7,,
D73003C,2,DO7854,6,03/06/10,,PV,537,100,,7,,
H62002C,5,7658,6,01/12/10,,PV,521,100,99,,,
C85003L,1,DO3251,1,04/27/04,,PV,,gillnet,52,,,
,,DO6318,,,,PV,,,,,,
G83002L,2,DO6317,2,01/10/14,,PV,537,100,112,1,,
K41001C,1,DO6815,,,,PV,,,,,flipper,
M41004L,5,DO7465,1,01/30/14,,PV,613,100,110 cm,,,
K33021C,16,DO7143,34,8/20/11,,PV,519,gillnet,97,,,
G94005L,1,DO5687,5,04/30/09,,PV,539,gillnet,110,ins tak. ,date: 4/20/09 or 1/30/09?,
G94005L,1,DO5685,4,01/30/09,,PV,539,gillnet,115,,,
G94005L,1,DO5686,3,01/30/09,,PV,539,gillnet,121,inc teler? ,length may be 111 ? ,
H62002C,4,5565,4,1/12/10,,PV,521,100,114,,,
E42002L,1,DO5728,2,01/16/10,,PV,537,100,128cm,,,
D28021C,2,5320,1,09/13/04,,PV,513,gillnet,94,dead,,
,,DO5544,,06/23/04,,PV,,,,,,
K60035C,2,DO00986,3,08/22/12,,PV,514,100,95cm,,date: 07/22/12?,
N00006C,1,DO6125,1,02/08/15,,PV,613,100,114,1,,
D65011C,2,6121,,02/27/11,,PV,534,100,,7,,
D28003C,3,5318,2,7/15/04,,PV,514,gillnet,78,dead,,
J81016C,1,7513,1,12/11/10,,PV,,,98,,,
,,DO6688,,,,PV,,,,,,
L75001C,6,DO6950,1,01/05/14,,PV,537,100,105,,,
H07049C,2,DO7941,6,11/05/09,,HG,521,100,,,haul is 3 or 2?,
H07049C,2,DO7943,2,11/05/09,,HG,521,100,,,,
H07049C,2,DO7942,4,11/05/09,,HG,521,100,,,,
Q45003C,2,DOA0860,1,02/18/21,,HG,537,,46 in,25,,
D73003C,2,DO7851,9,03/06/10,,HG,537,100,,7,,
Q90005C,1,DOA0806,3,3/1/19,,HG,526,,,,gear code:100,
Q45004C,2,DOA0866,,02/22/21,,HG,,,105,,,
D73003C,1,DO7850,3,03/06/10,,HG,537,100,,7,,
F83027L,1,6702,1,02/09/09,,HG,537,100,127,,,
A71073L,6,6153,1,05/24/07,,HG,521,100,137,1,Trip ID: A51073L?,
G81016C,1,6453,1,02/15/09,,HG,514,gillnet,11,11,,
H10003L,4,DO6043,3,02/06/09,,HG,537,100,,,,
D73003C,2,DO7855,5,03/06/09,,HG,537,100,,7,,
E35019L,2,DO5187,3,05/22/07,,HG,537,100,130,1,,
E35029C,4,DO6140,1,07/24/07,,HG,521,,197,1,,
R47007L,4,DO5930,2,05/04/19,,HG,537,,,,gear code: 100 (copepod),
R16006L,2,DO9628,3,12/20/18,,HG,521,,,,gear code: 100 ,
H01007C,2,DO8195,3,02/10/09,,HG,537,100,103,11,,
,,DO8526,,08/25/05,,HG,,,,,,
Q95007C,2,DO9839,1,03/05/19,,HG,537,,,,gear code:100,
H01007C,1,DO8194,2,02/10/09,,HG,537,100,106,11,,
D73003C,2,DO7852,8,03/06/10,,HG,537,100,,7,,
R66004,172,DOA1912,1,03/18/20,,HG,522,,,,gear code: 132,
Q45056C,,DOA0440,2,11/19/18,,HG,521,137,,,gear code: 100,
Q04008-,3,DOA0769,,03/23/18,,HG,515,,,,gear code: 150,
R160014L,2,DOA0354,3,03/12/20,,HG,537,,,,gear code: 100,
R07006L,5,DO9801,1,12/19/18,,HG,537,,,,gear code: 100,
Q45004C,2,DOA0868,1,02/22/21,,HG,537,,102,25,gear code:100,
Q45004C,2,DOA0867,2,02/22/21,,HG,537,,109,25,gear code:100,
A94014,,DO4744,,4/22/97,,HG,,,,,,
D73003C,4,DO3537,17,03/07/10,,HG,537,100,,7,,
H16011,4,DO0004,11,03/27/10,,HG,616,gillnet,,1,,
C94020,,DO3921,,03/31/05,4/7/05,HG,,,,,,
H160011,4,DO-00006,10,03/27/10,,HG,616,gillnet,,1,,
R16019L,4,DOA1935,3,05/03/19,,HG,537,,,,gear code:100,
H45002L,2,DOA1896,6,02/23/19,,HG,537,,,,gear code:100,
,,DOA0622,,2017,,HG,,,,,,
,,DOA0241,,,,HG,,,,,,
,,DO8501,,01/08/11,,HG,,,,,date could be 2014,
H01007C,1,,1,02/10/09,,HG,537,100,,11,,
P72027L,1,DO7746,2,11/02/17,,HG,514,,130,1,gear code:100,
R18002L,7,DO8702,4,11/15/18,,HG,537,,,,gear code:100,
R49002L,3,DOA1511,3,04/12/19,,HG,513,,,,gear code:100,
K86001C,3,DOA0839,18,11/01/17,,HG,514,ONS,146,,,
R47007L,4,DOA1015,3,05/04/19,,HG,537,,,,gear code: 100,
P72027L,1,DO-0709,1,11/02/17,,HG,514,100,110,1,,
,,DO6038,,02/07/04,,HG,,,,,,
P72030C,4,DOA1709,2,11/09/17,,HG,521,100,115,1,,
K07021C,1,DO-0277,2,07/15/12,,HG,521,100,123cm,,,
K87021C,3,962,1,11/13/11,,HG,521,100,,,,
K87017C,4,960,2,10/09/11,,HG,,,142,fresh dead,,
E420022,15,DO5717,1,11/20/09,,HG,522,50,126 cm,1,,
M45002L,4,DO9356,4,02/14,,HG,537,100,98,,,
K42007-,1,729,,3/12/12,,HG,522,170,,25,,
M45012C,4,DO9360,5,03/29/14,,HG,538,gillnet,106,1,,
K87017C,5,DO0969,2,11/13/11,,HG,521,100,,,,
K37040C,2,DO8342,12,10/01/11,,HG,521,100,131,,,
K37041C,2,DO8343,1,10/02/11,,HG,521,100,127,,,
D23018L,1,DO0122,1,06/05/11,,HG,557,100,,,,
H05004L,5,DO8984,4,03/07/10,,HG,537,100,99,25,,
E35037L,7,8131,2,06/17/11,,HG,514,100,131,7,possibly subsampled D08131,
J82040,6,701,1,11/16/11,,HG,513,gillnet,48,,anchor sink,
K60035C,2,DO0979,2,07/22/12,,HG,514,100,120 cm,,,
J90011C,1,7544,1,04/08/11,,HG,537,gillnet,119cm,,,
J90011C,4,7540,3,04/08/11,,HG,537,gillnet,126 cm,,,
J90011C,2,7539,2,04/08/11,,HG,537,gillnet,130 cm,,,
K83009C,2,7074,1,02/29/12,,HG,514,100,,,,
L74003C,7,DO7105,5,03/11/13,,HG,637,110,113.2,,,
,,DO9722,,,03/03/14,HG,,,,,,
H15011,,DO6752,,12/08,,HG,,100,,,,
L28026C,4,DO9812,1,04/20/12,,HG,537,100,107,,,
M43019C,4,DO0834,2,06/23/14,,HG,514,100,128,DF,Tag: DO0934?,
M52022,2,DO7067,1,09/04/14,,HG,521,100,61 in,,"date: 9/4/14?, tag: DO707?",
L32011C,2,DO7575,2,3/7/12,,HG,514,100,96,,,
G81045C,6,DO7107,1,08/10/11,,HG,513,100,81cm,dead,,
J82037C,5,104,5,10/24/11,,HG,513,gillnet,160,,,
J88024,,167,28,7/19/11,,HG,537,50,124,1,,
J63049-,37,DO0009,1,12/3/11,,HG,522,50,,,,
J81009C,4,9496,1,03/16/12,,HG,526,100,,,,
M10010,2,DO9943,5,03/18/14,,HG,537,,114,,trip Id: could be M1001C,
M10010,3,DO9944,4,3/18/14,,HG,537,,124,,,
M59002,1,DO9842,1,04/19,,HG,537,,130.3,11,,
L19015L,3,9978,1,04/27/14,,HG,,100,139cm,,,
J88012L,1,DO9926,1,03/24/13,,HG,537,100,107,7,,
M10010L,1,DO9946,1,03/18/14,,HG,537,,114,,,
M45012C,3,DO9359,3,03/29/14,,HG,538,gillnet,113,1,,
